id,name
mn0000032866,Solid Sessions
mn0001754509,Raoul Sinier
mn0001581652,Digit All Love
mn0000793845,Falco
mn0000791483,Dwight Yoakam
mn0001361529,Hilary Hahn
mn0000279676,Lordz of Brooklyn
mn0000891911,Midnight Star
mn0000155142,Cloud One
mn0000264557,Jennifer Knapp
mn0000546678,Lonnie Gordon
mn0000781819,Country Teasers
mn0000186597,Don Johnson
mn0000536329,Dead Confederate
mn0000165611,Özgür Can
mn0002139956,Hidrogenesse
mn0000777487,Frog Pocket
mn0000592239,Thirstin Howl III
mn0000230185,Deep Blue
mn0000162718,Climax Golden Twins
mn0000738182,Gary Burton
mn0000626492,Byetone
mn0000834141,Roger Clyne & the Peacemakers
mn0000066915,Bob Dylan
mn0000199194,Dougie MacLean
mn0000108679,Crash Test Dummies
mn0000297213,KC Flightt
mn0000481077,DJ Ozma
mn0000663298,Happy the Man
mn0001002669,Roland M. Dill
mn0000725474,Psychedelic Horseshit
mn0000851473,Richard Barone
mn0000559687,Carpark North
mn0000860588,Von Iva
mn0000137126,The Country Rockers
mn0000420967,Memphis Jug Band
mn0000320083,Mary MacGregor
mn0000439291,Chris Clark
mn0000189701,Jean Shepard
mn0001865473,Max Duley
mn0000075008,Honey Cone
mn0000772733,Booker T. & the MG's
mn0000160690,En Vogue
mn0000319945,Peter Criss
mn0000166988,G.B. Grayson
mn0000920638,Dark Meat
mn0000290502,Limp Bizkit
mn0000859509,Quicksand
mn0000406187,New York Rel-X
mn0000999579,Bryn Christopher
mn0000492670,Monty Python
mn0000899785,P'taah
mn0000575401,Hendrik Meurkens
mn0000108089,Chris Cummings
mn0000743968,Patrice Rushen
mn0000174552,Five Deez
mn0000798169,Ellen Allien
mn0001003186,The Week That Was
mn0002036451,Discovery
mn0000158173,Shakin' Stevens
mn0000087162,Ian Gomm
mn0000101326,Kosheen
mn0000163128,Fafa Monteco
mn0000860222,Naftule Brandwein
mn0000324878,Sugarplum Fairy
mn0002101421,Thomas Function
mn0001339281,Viikate
mn0000843574,Peter Jöback
mn0000258465,Nostalgia 77
mn0000996973,Inon Zur
mn0000829668,Loudermilk
mn0000024883,Ananda Shankar
mn0000129201,cLOUDDEAD
mn0000527010,Bruce Channel
mn0000150444,D*Note
mn0000322027,Nelson Riddle
mn0000919623,Animosity
mn0000674150,Helen Reddy
mn0000887191,Old Blind Dogs
mn0000935130,Arbouretum
mn0002005952,Erik Segerstedt
mn0000488565,Thornley
mn0000771926,Black Velvet Flag
mn0000893493,The Octopus Project
mn0000206465,Type O Negative
mn0000579709,The Spotnicks
mn0000794244,Eddie Gomez
mn0000016186,Amel Larrieux
mn0000334770,Ramsey Lewis
mn0000429259,The Sorrows
mn0000742236,South Park Mexican
mn0000870809,MercyMe
mn0000168627,Rupie Edwards
mn0000724598,Crystal Castles
mn0000283449,S.T.U.N.
mn0001402798,Le Mans
mn0000783221,Will Ferrell
mn0000957296,Herbie Hancock
mn0000589857,They Came from the Stars I Saw Them
mn0000504471,Afu-Ra
mn0002157957,Cor Veleno
mn0000915181,Coconut Records
mn0000295443,Roger Eno
mn0000839797,Jyve V
mn0000569143,Hieroglyphic Being
mn0000891701,One Shot
mn0000795027,Mimi Blais
mn0000251438,People's Choice
mn0000777009,Comeback Kid
mn0000412504,Niña Pastori
mn0002029050,José James
mn0000724562,Fee
mn0000407287,Magneta Lane
mn0000174680,Watermelon Slim
mn0000047027,Silkworm
mn0001969517,Forest City Lovers
