id,allmusic_id,musicbrainz_ids
63,mt0033084939,"['0b361f8d-3aa3-41e5-b353-1a934ae6a345', '6fbc995b-ea19-4b4a-ac45-44d138a775c4', 'b3360ccf-14cd-4478-be89-5610cca14406', '8d9bb77a-6af0-4c35-901a-08a496d14562', '12f4b7cc-b6e2-4607-bb06-72d798421e4e', '134b4fad-03a9-4d67-8815-6eda4fa73ada', '6a6fa640-6beb-44f7-b4a8-dba0632a4ef1']"
64,mt0012970779,"['f87b7203-df49-4a55-81c3-d4a6122175f8', '871a5c08-1624-4394-b55f-26ae9b11110c', '542e4a5e-b7f4-460f-9ac2-4e0b3a817be5']"
65,mt0008933029,
66,mt0015965130,
67,mt0015686227,
68,mt0036054724,
69,mt0029785239,
70,mt0013451103,['cfc4ba18-3754-4f0a-9963-d7ef62a3250e']
71,mt0015592386,
72,mt0032572857,
73,mt0029564291,
74,mt0010796661,
75,mt0010508675,
76,mt0030685986,
77,mt0034174835,
78,mt0010513773,
79,mt0010511731,
80,mt0010526574,
81,mt0010533204,
82,mt0010513135,
83,mt0028830428,
84,mt0033054835,['db4ab550-7faa-46cd-bcc3-8ea535d43851']
85,mt0056198275,['f959b496-9771-4148-8b31-ecdc5e279082']
86,mt0056198274,['eb045f95-7c52-4d80-9a48-7e08954c3e88']
87,mt0056198271,['a3bd4494-3528-449d-885b-4e453a616c20']
88,mt0056245498,['eb6083f6-62b0-49cb-9417-3ac6831a49be']
89,mt0056245496,['ffdc21d8-3087-47d4-95b7-ef4b65704556']
90,mt0056245494,['1746213e-fb6c-4c7b-8a28-9cd00bd85c00']
91,mt0056245501,['bf176b78-5371-48b1-9e0f-148239fa5a77']
92,mt0056245497,['1d3a2be7-a2cd-44d0-97e4-a6c33285c547']
93,mt0056245489,['62650c40-e68d-49ec-a87a-ac601e473aa9']
94,mt0056245495,['f31c84c2-6ea7-4c47-9a7d-26e4a7183200']
95,mt0056245493,['7e6717d6-3da7-4558-ae2f-291fa2d92d75']
96,mt0056245492,['08a813f8-61a7-4daa-8ff4-54b874bb3ba1']
97,mt0056198272,['120a16af-740c-4512-b776-1ee72b2312a4']
98,mt0056198273,"['77663f88-ab22-4bd6-a20c-d170516b7d80', '6fada565-41ae-4cbc-8872-a541e6eae49c']"
99,mt0004878146,"['613147bc-51bf-46cf-8246-ab1215eb44bd', 'f295148c-bb6c-4621-9999-fab904358fb5']"
100,mt0056198276,"['613147bc-51bf-46cf-8246-ab1215eb44bd', 'f295148c-bb6c-4621-9999-fab904358fb5']"
101,mt0056245490,
102,mt0008337339,['aecd4685-1b51-48f6-8a78-3895c164106c']
103,mt0002036941,['29381d90-89ff-40ae-8a29-b29c05930975']
104,mt0000575630,['2488f8e2-56f4-4936-a0c2-0ec921d12bbf']
105,mt0004319591,['31872bd8-255d-4e1d-b16c-515e9efa4112']
106,mt0009084670,['4625edd8-c3c9-41cc-8985-ef724fe1de23']
107,mt0028688003,"['736b7eb6-a7dc-4129-ba9e-9f0e7740262e', 'f8396fff-9b15-4cce-9468-ee954aac8dc0', 'de908030-8555-45a9-8d2c-dc73262c48c1', 'db4b24e5-6ac0-4f31-92a3-4846be0686e5']"
108,mt0013221146,['4b135b56-b9af-4939-8f53-0882b6b8d818']
109,mt0005322864,['5b807cdf-e9f0-4fee-9a08-1a335f50d525']
110,mt0008781004,['9ce6a72c-7151-44ce-8e73-ef9195b1542c']
111,mt0004220485,['400ddf38-3540-4cce-93b2-baf1454f4747']
112,mt0047610932,['787fe531-1859-436b-8070-08365d2ad336']
113,mt0015434156,"['2f3eed83-de86-45bb-a102-23f90741c3f5', 'f124a257-a4f8-4f9a-a089-4a4bb9498dcd']"
114,mt0015424787,"['736df6af-89a7-448a-9919-439220bb2064', '8f9f60ce-35e2-4e34-a928-5e6e33ecafcb']"
115,mt0015441438,"['a4b1c356-739f-4b71-a10a-fb44629fa37c', 'aeba21da-04d8-44f5-b12c-e8bddb8da3e6']"
116,mt0026659854,['2502eb2c-a918-4e7e-b612-9e49e67f39d8']
117,mt0029986031,['cbc78161-20f4-4f29-8509-a51e159ab53c']
118,mt0015413071,"['a39c2677-3501-4f1c-bdf1-7ada377390fa', '305f7666-7adf-4b59-8500-ed9bcc17b259']"
119,mt0035614714,"['dbed968d-5761-49ae-ae1b-c1cea8bf6612', '4161422b-9c48-459f-8e7b-e5317cecbc00']"
120,mt0027919581,['aff6ff71-abae-467d-b60f-cca73fbd73a5']
121,mt0029961811,['59fb20d5-1135-4892-94ca-84edf9a7dafc']
122,mt0029768005,"['56010e34-7963-4945-926e-6fa3af35c4b0', '872df1cd-0a14-494f-89d2-b9a6766ef5bd']"
123,mt0029034809,['58fc2318-230e-449e-9d9c-6c72cd2c496e']
124,mt0031330797,['2e1d7200-3bcf-4bd8-a4a7-ce015f2af9c8']
125,mt0015410684,['e82ad792-2f9a-4c80-8d5d-4404afd2907e']
126,mt0015408358,['f572264b-e2b9-463c-9ba7-695ceb868e7d']
127,mt0015418117,['5d8bb39e-db1f-4551-913f-ba85def8e828']
128,mt0015422825,"['e4ae7a26-fb2b-4d97-9dd4-0f18da7eaa6d', 'e898e48c-99f6-43dd-83dd-15da059c1d50']"
129,mt0032021487,"['e5e23e7e-dfaa-4d7f-9b9f-a0927cd9f849', 'fe34579d-e3f6-4e37-a1bf-4ec1a380f98a', 'aeeabc4c-90dc-4afd-95ea-e6841ff88e08', '7fb3b375-d480-476e-ba97-78fc18cf1063', '6e586d47-5f5b-4167-8e63-849c922c86ed', '8e33717a-7ebb-4e30-839a-aa25953a0239', '4a4c09fb-db4a-4b4f-966c-6b669924712e']"
130,mt0001313910,['5f76e9d0-fe7a-460a-aa5b-b2596abc8d34']
131,mt0019408541,"['3b5c980a-2f4b-4563-bcf5-3992d413ed75', '7db9945c-be3a-4c7e-abb9-459b3a6716bc', 'bcad8cdf-2a77-444e-93fa-008d039c42ed']"
132,mt0019412280,"['5601b082-c956-4ac2-bb8f-eb53c063803c', 'd41416ab-b533-4f80-9fed-13c26d2b0c1f']"
133,mt0019399422,"['0e4473cb-2490-44f3-abeb-b4f60eded207', '872e816f-e466-40e4-a9e0-9680d2f427ff']"
134,mt0033914734,['d6cabd38-eeed-447d-80e6-2824099b4cd4']
135,mt0008261559,['7fb883fc-c277-41b3-bd96-ff772ee63d09']
136,mt0001078110,"['deb1254c-829b-4a31-872e-4205794c6914', '3841ee4a-76a3-4394-b964-c8f3602938e6', '71a59423-31b2-4d79-9f1b-2f857a57f9bc', '5ee9bd0b-f10d-4167-93b8-c8ee8b6a0c63', '4bccb153-a28a-4062-b8ce-e15a95e68d21', '931f375c-6e57-4ff7-b842-aaf2a7601381']"
137,mt0018629413,['d6cabd38-eeed-447d-80e6-2824099b4cd4']
138,mt0003533230,"['98031264-2c37-491e-899c-87c873baaa84', 'de9c2ba3-deb2-4a3f-91c3-a98306843a76']"
139,mt0026344744,['cb16b5ab-cfe8-4eab-bd72-578bd2aa7268']
140,mt0028836117,['07acde7c-5a02-4ff6-83fc-b0ccef9c3d16']
141,mt0047973551,
142,mt0047973557,
143,mt0047973546,
144,mt0047973550,
145,mt0047973545,
146,mt0047973549,
147,mt0047973552,['a0319e32-0336-4aaf-a28e-0f09ca11b762']
148,mt0047973558,['a0319e32-0336-4aaf-a28e-0f09ca11b762']
149,mt0047973554,
150,mt0026149561,
151,mt0019849049,
152,mt0031210324,
153,mt0019843711,
154,mt0019868447,
155,mt0019855436,
156,mt0019849914,
157,mt0032811095,"['7f05cc6a-599d-447a-b7f3-010d0dc5f560', '13dcb260-36d0-4b8e-b3f8-ef1e8ae7d3ea']"
158,mt0029673257,
159,mt0019853928,
160,mt0030901195,
161,mt0031945895,['b3250277-5de1-49b3-a716-97af08ba30ed']
162,mt0010620417,['5b078da5-2756-43c0-b238-53b79d86435d']
163,mt0046649177,
164,mt0046649185,
165,mt0046649179,['51b4ca30-14ca-4398-ab44-4cfe4495ab4e']
166,mt0046649180,
167,mt0046649184,
168,mt0046649182,
169,mt0046649181,
170,mt0046649186,['c0eaa9c9-8523-468f-8e6a-a5beab91ad9c']
171,mt0046649176,
172,mt0046649178,
173,mt0046649187,
174,mt0046649183,
175,mt0046649188,
176,mt0035551543,['d21f2fb6-c207-42cb-bb84-ec764c39471b']
177,mt0035551548,['8268e0f3-3bef-4e8b-913a-da5861c252a0']
178,mt0035551549,['82f56a61-fe30-4f88-84a6-700ea4163639']
179,mt0035551541,['af2bcb4f-b2c5-476a-b7c4-291979080a6e']
180,mt0035551544,['a8856a9c-167e-46ed-9363-1920b91e95b6']
181,mt0035551545,['9191d0f6-8928-4f0d-8190-dbf148a22943']
182,mt0035551542,['b741295e-6951-4930-82f9-b13e021c76c0']
183,mt0035551546,['ce1a62f5-eb40-4a73-b1ab-a3428ee3f218']
184,mt0035551547,['c9066bfc-af48-4bb9-bebf-8f43bfbd98ee']
185,mt0035551540,['c0eaa9c9-8523-468f-8e6a-a5beab91ad9c']
186,mt0031662241,"['0cc932b3-c154-4a03-9ada-2a059295ec35', 'd009b054-9002-4f40-9920-59e62b2af29e', '6e0f252d-9ba7-49b5-96cc-2f09dfd12371', '560e8774-7047-43b5-aa44-1e8e3daa1b67', '4e00a129-d318-4149-a880-688715794a4a', '70f3fe9d-94ea-4098-92a5-1beedeb706e7', '6a33ae6a-a0ec-4dce-8c85-fe77d1bab988', '5cd2ec01-f21b-4b6a-ab1d-05d7e17279bf', '2044d82f-15d6-4f8e-88e4-d7333cc5d74a', '34b187d1-a2c0-4313-9054-cda1f7c773e1', 'd4a287b9-aabb-43df-8c1d-1ac6c1dc01d4', '3e391c67-0e66-44c9-b078-628b993ffcd1', '771a40bf-7363-4828-8414-207c5d4f76b6', '5aa4d3f8-6228-48c9-ae49-743c18e437ec', 'e6ba007d-4964-4bbf-adea-b73de48e1fef', '468eb921-0bd8-4de7-abcc-131a7cbde9ee', '97ac1296-4111-47e0-9867-237ddb7bb675', '9adbc85f-381d-4920-9d78-194d4bcb8d81', '59aea004-df26-4af0-9c05-1c95d20d99b8', 'e57ec08d-7a6a-4e03-aad9-6e17a6cf1f87', 'b4ad9ba0-7ab1-46d0-af32-6b58baa25dc6', '7ce3904b-7caa-4b7e-ba55-939f6e461731', '7a3f64cf-d3e5-4bb6-98eb-78c2b9da451c', '782a0a9c-523a-4994-bfd8-a4641fd5b216', 'fd8d59e1-c8e8-4b7e-8f72-3790fc7b9fcd']"
187,mt0016810548,"['0cc932b3-c154-4a03-9ada-2a059295ec35', 'd009b054-9002-4f40-9920-59e62b2af29e', '6e0f252d-9ba7-49b5-96cc-2f09dfd12371', '560e8774-7047-43b5-aa44-1e8e3daa1b67', '4e00a129-d318-4149-a880-688715794a4a', '70f3fe9d-94ea-4098-92a5-1beedeb706e7', '6a33ae6a-a0ec-4dce-8c85-fe77d1bab988', '5cd2ec01-f21b-4b6a-ab1d-05d7e17279bf', '2044d82f-15d6-4f8e-88e4-d7333cc5d74a', '34b187d1-a2c0-4313-9054-cda1f7c773e1', 'd4a287b9-aabb-43df-8c1d-1ac6c1dc01d4', '3e391c67-0e66-44c9-b078-628b993ffcd1', '771a40bf-7363-4828-8414-207c5d4f76b6', '5aa4d3f8-6228-48c9-ae49-743c18e437ec', 'e6ba007d-4964-4bbf-adea-b73de48e1fef', '468eb921-0bd8-4de7-abcc-131a7cbde9ee', '97ac1296-4111-47e0-9867-237ddb7bb675', '9adbc85f-381d-4920-9d78-194d4bcb8d81', '59aea004-df26-4af0-9c05-1c95d20d99b8', 'e57ec08d-7a6a-4e03-aad9-6e17a6cf1f87', 'b4ad9ba0-7ab1-46d0-af32-6b58baa25dc6', '7ce3904b-7caa-4b7e-ba55-939f6e461731', '7a3f64cf-d3e5-4bb6-98eb-78c2b9da451c', '782a0a9c-523a-4994-bfd8-a4641fd5b216', 'fd8d59e1-c8e8-4b7e-8f72-3790fc7b9fcd']"
188,mt0013054984,
189,mt0053887133,"['894dd055-df7b-4091-bae0-c8e40dd4557b', '33f0e10a-a314-409c-b6de-db7f8c6bd949', '36c0021d-26c6-43e5-86e6-f79920d998dc']"
190,mt0006857703,"['d52ed676-baad-45f2-9072-f094ea1ec939', 'e74da374-23df-4f27-9d6e-0d77079810b6']"
191,mt0042014821,['0d93cf9e-ad5e-4373-a826-3eb1725fce09']
192,mt0010918787,['49c2b527-fe40-409c-a1f9-c857bf1d0e49']
193,mt0013328818,['581ed542-0eeb-499a-bc18-f7fb80a8b497']
194,mt0062589726,['8c0c6b9f-b69b-498f-b3c8-b2e3c488a0d8']
195,mt0061388826,
